epoch,tr_loss,tr_precision,tr_recall,tr_f1,tr_acc,tr_PRauc,va_loss,va_precision,va_recall,va_f1,va_acc,va_PRauc,seconds
1,0.0198,0.9423,0.9321,0.9372,0.9926,0.983,0.1082,0.8711,0.4758,0.6155,0.9716,0.7554,228.1279
2,0.0178,0.9456,0.9413,0.9434,0.9934,0.9857,0.1306,0.8531,0.3741,0.5201,0.967,0.7195,227.5578
3,0.0184,0.9465,0.9427,0.9446,0.9935,0.9851,0.0923,0.8715,0.5129,0.6457,0.9731,0.7824,231.383
4,0.0183,0.9496,0.939,0.9443,0.9935,0.9856,0.094,0.8929,0.5165,0.6545,0.9739,0.7833,229.6803
5,0.016,0.9544,0.947,0.9507,0.9942,0.9884,0.0937,0.8538,0.5017,0.632,0.9721,0.7763,229.8185
6,0.0116,0.9625,0.9627,0.9626,0.9956,0.9941,0.1002,0.9003,0.5695,0.6977,0.9764,0.8088,230.5392
7,0.0096,0.9682,0.9683,0.9682,0.9963,0.996,0.1393,0.9457,0.3756,0.5376,0.9691,0.7855,233.1362
8,0.0104,0.9709,0.9636,0.9673,0.9962,0.9953,0.1331,0.9453,0.4099,0.5719,0.9706,0.8041,232.679
9,0.0091,0.9706,0.9697,0.9702,0.9965,0.9963,0.1125,0.9062,0.4851,0.6319,0.973,0.8051,230.9003
10,0.0107,0.9678,0.9645,0.9661,0.996,0.9943,0.1341,0.8841,0.4684,0.6123,0.9716,0.7679,235.0706
11,0.0127,0.9649,0.9578,0.9613,0.9955,0.9925,0.1754,0.9153,0.2262,0.3627,0.962,0.6958,232.9004
12,0.0122,0.9647,0.9597,0.9622,0.9956,0.9933,0.0955,0.8499,0.5836,0.692,0.9752,0.7531,234.9104
13,0.0122,0.9639,0.9593,0.9616,0.9955,0.993,0.1844,0.9211,0.3391,0.4957,0.967,0.717,232.2419
14,0.008,0.9743,0.9734,0.9739,0.9969,0.9971,0.1437,0.8882,0.4961,0.6366,0.9729,0.755,232.5877
15,0.008,0.9755,0.9729,0.9742,0.997,0.9971,0.1199,0.8954,0.5599,0.689,0.9758,0.7896,234.4784
16,0.0085,0.9764,0.9702,0.9733,0.9969,0.9968,0.1385,0.9133,0.5309,0.6715,0.9752,0.789,233.1299
17,0.0069,0.9788,0.9761,0.9774,0.9973,0.9979,0.1267,0.9298,0.5328,0.6774,0.9757,0.7857,231.8865
18,0.0069,0.9782,0.9763,0.9772,0.9973,0.9979,0.1581,0.9158,0.448,0.6017,0.9716,0.7602,234.0664
19,0.0067,0.9792,0.9765,0.9779,0.9974,0.998,0.1558,0.9224,0.4377,0.5937,0.9713,0.767,233.1553
20,0.0065,0.9791,0.9774,0.9782,0.9974,0.9981,0.147,0.9177,0.4609,0.6136,0.9722,0.7844,233.69
